Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2018,Nissan,Rogue,61155,Ունիվերսալ,Վարիատոր,Ձախ,Բենզին,Սև,Մաքսազերծված,24500
2019,Jeep,Cherokee,74100,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,24900
2016,Mazda,3,115229,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,3800
2019,GMC,Acadia,19850,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8000
2021,Nissan,Kicks,16824,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5200
2017,BMW,320,49000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5000
2017,Audi,Q7,22854,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,12200
2017,Volvo,S90,91732,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7000
2020,Honda,Accord,18347,Սեդան,Մեխանիկական,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,6800
2017,Volvo,S90,21735,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,11900
2008,Toyota,Land Cruiser Prado,107000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,25500
2018,Toyota,Highlander,17935,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,15600
2019,Dodge,Charger,125528,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5000
2020,Mazda,3,23335,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,Մաքսազերծված,23300
2020,BMW,540,17356,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,19100
2016,Dodge,Challenger,22835,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6500
2016,Mercedes-Benz,CLA 250,68000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,26500
2022,BMW,540,6000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,25000
2011,Mercedes-Benz,GL 500,170000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,18400
2021,Hyundai,Kona,37014,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,4500
2019,Honda,Civic,40000,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,5000
2019,Toyota,Camry,72420,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8900
