Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared,Price
2018,Buick,Encore,62764,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3500
2016,Honda,CR-V,25136,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7200
2013,BMW,328,150000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,15500
2008,Mazda,6,284532,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սմբկագույն,Մաքսազերծված,7900
2017,Mercedes-Benz,SL 450,23391,Կուպե,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,17300
2019,Audi,A6,18247,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,11500
2017,Audi,A6,62000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,9200
2016,Mercedes-Benz,C 300,22731,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7100
2018,Mercedes-Benz,GLC 300,55771,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,14000
2018,Honda,Civic,43452,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5500
2017,Kia,Sportage,21732,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6300
2017,Chevrolet,Camaro,24000,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7300
2020,Toyota,Rav 4,11313,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,23000
2021,Hyundai,Sonata,16732,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10500
2015,Chevrolet,Captiva,170000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,13500
2022,Subaru,Forester,10320,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,8500
2016,Kia,Optima,23914,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3100
2018,Jeep,Renegade,17352,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,4100
2016,Ford,Fusion,22854,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,2600
2008,Toyota,Corolla,193000,Սեդան,Վարիատոր,Ձախ,Գազ,Սև,Մաքսազերծված,7800
2017,Bentley,Bentayga,56000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,Մաքսազերծված,170000
2017,Mitsubishi,Outlander,100000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7500
2021,Nissan,Maxima,16824,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7800
2020,Honda,Accord,106440,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,8500
2022,Mazda,CX5,1742,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,14500
2020,Jeep,Compass,18432,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5800
2017,BMW,320,16,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,10500
2016,Kia,Optima,119091,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,16850
2019,Mazda,CX5,19275,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,6200
2021,Dodge,Charger,17294,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,17500
2020,Chevrolet,Camaro,71639,Կուպե,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,13000
2018,Hyundai,Kona,16093,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5300
2019,Mazda,CX5,138360,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,15500
2017,Hyundai,Santa Fe,78910,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14500
2016,BMW,320,102780,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,10000
2020,Toyota,Highlander,70000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,25000
2021,Toyota,Camry,6540,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,12700
2018,Chevrolet,Cruze,91751,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,2450
2017,Hyundai,Santa Fe,129552,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,4500
2018,Lexus,IS 300,74774,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,17000
2017,Toyota,Tundra,21492,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,13400
1997,Mercedes-Benz,S 420,310603,Սեդան,Ավտոմատ,Ձախ,Գազ,Սև,Մաքսազերծված,7280
2017,Nissan,Sentra,74029,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,11800
2017,Nissan,Pathfinder,19654,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,5300
2020,Nissan,Kicks,36604,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,5300
2018,Hyundai,Accent,17932,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,3800
2019,Kia,Optima,22530,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4400
2000,Mazda,Millenia,167000,Սեդան,Ավտոմատ,Աջ,Բենզին,Սպիտակ,Մաքսազերծված,5500
2017,Hyundai,Sonata,21796,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3100
2017,Nissan,Altima,71293,Սեդան,Վարիատոր,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,18200
2016,Kia,Optima,104000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,21000
2019,Kia,Optima,53108,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,3500
2014,BMW,328,157000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,22500
2016,Toyota,Rav 4,22845,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,5700
2017,Nissan,Frontier,19347,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6100
2021,Tesla,Model 3,8445,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,23000
2019,Honda,CR-V,22630,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,11800
2019,Hyundai,Kona,91732,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,Մաքսազերծված,18700
2018,Nissan,Altima,93956,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,3600
2018,Nissan,Altima,93181,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,4500
2019,Hyundai,Sonata,94951,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,15000
2019,Mercedes-Benz,C 63 AMG,26613,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,17000
2022,Kia,Soul,13500,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,45006
2018,Lexus,IS 200,63000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,Մաքսազերծված,31500
2016,Mercedes-Benz,C 300,51016,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,17200
2022,Toyota,Camry,24140,Սեդան,Ավտոմատ,Ձախ,Բենզին,Շագանակագույն,Մաքսազերծված,41800
2021,Tesla,Model Y,16854,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,19500
2020,Nissan,Pathfinder,58074,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14500
2012,Toyota,Camry,144840,Սեդան,Ավտոմատ,Ձախ,Գազ,Սպիտակ,Մաքսազերծված,15000
2019,Hyundai,Elantra,18347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4300
2016,Chevrolet,Silverado,23914,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,11900
2018,Jeep,Grand Cherokee,19247,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,12100
2018,Ford,F150,18247,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12300
2018,Chevrolet,Equinox,17892,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,8100
2017,Infiniti,QX50,21864,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7200
2014,Chevrolet,Volt,8046,Հետչբեք,Ավտոմատ,Ձախ,Էլեկտրական,Մոխրագույն,մաքսազերծված չ,5900
2019,Kia,Optima,71918,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,6200
2019,Hyundai,Tucson,57339,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,16500
2019,Toyota,Tundra,21333,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,15000
2021,Jeep,Grand Cherokee,16692,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,22300
2018,BMW,X5,23418,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,14400
2016,Mazda,6,152887,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,20500
2018,Mercedes-Benz,E 300,62764,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,17000
2021,Mercedes-Benz,C 300,16374,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,17400
2022,Ford,Explorer,16285,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,10100
2022,Volkswagen,iD.6,10,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,39900
2018,Nissan,Maxima,18254,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5700
1983,VAZ,(Lada) 2106,150000,Սեդան,Մեխանիկական,Ձախ,Գազ,Դեղին,Մաքսազերծված,2860
2022,Volkswagen,ID.4,40,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,Մաքսազերծված,40500
2020,Toyota,Corolla,72117,Սեդան,Մեխանիկական,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,15400
2017,Honda,CR-V,19935,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,8100
2019,BMW,330,14805,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,11000
2018,Toyota,Rav 4,62764,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,5000
2020,Honda,CR-V,18274,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14200
2017,Nissan,Maxima,74834,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,24500
2019,Kia,Sorento,18379,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,17200
2018,Nissan,Versa,173326,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,2300
2021,Hyundai,Elantra,18454,Սեդան,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,մաքսազերծված չ,7000
2019,Hyundai,Tucson,66444,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,8600
2017,Toyota,4-Runner,120000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12500
2019,Mercedes-Benz,C 300,18357,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,11700
2019,Chevrolet,Equinox,18349,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5900
2017,Mercedes-Benz,C 300,19937,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,8800
2022,Tesla,Model 3,18735,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,19000
2011,BMW,535,193121,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,18500
2019,Ford,Fusion,111044,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,4500
2016,Mercedes-Benz,C 300,22762,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,7200
2017,Hyundai,Elantra,21792,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,3100
2019,BMW,X6,18364,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,29100
2008,BMW,535,120000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,8500
2020,Mazda,CX5,24783,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,Մաքսազերծված,33500
2022,Toyota,Rav 4,12000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,15500
2021,Mercedes-Benz,C 300,16974,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,17100
2006,BMW,650,260000,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,10900
2018,Land,Rover Range Rover Velar,69201,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,17000
2019,Toyota,Tundra,18347,Պիկապ,Ավտոմատ,Ձախ,Գազ,Սպիտակ,մաքսազերծված չ,15200
2005,Nissan,Tiida,156000,Սեդան,Ավտոմատ,Ձախ,Գազ,Այլ գույն,Մաքսազերծված,6000
2018,Nissan,Altima,23200,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3700
2017,BMW,X5,19637,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,14300
2017,Ford,Mustang,115111,Կուպե,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,15600
2021,Hyundai,Elantra,45599,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,10500
2016,Honda,Civic,21864,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4100
2018,Land,Rover Discovery Sport,19345,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,11900
2016,Ford,Escape,93000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,14400
2016,Chevrolet,Cruze,124080,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,2000
2017,Nissan,Pathfinder,19672,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5300
2020,Hyundai,Palisade,40233,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,մաքսազերծված չ,13000
2020,Chevrolet,Malibu,63240,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,6200
2021,Mazda,CX-30,23818,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,5800
2021,Mercedes-Benz,A 220,6232,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,14000
2019,BMW,530,18324,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,14200
2019,Honda,Civic,18647,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,5500
2020,Tesla,Model 3,37000,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,Մաքսազերծված,39500
2020,Toyota,Highlander,18347,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,17500
2019,Ford,Fiesta,2414,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,8200
2014,Toyota,Corolla,159277,Սեդան,Վարիատոր,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,17000
2022,Tesla,Model Y,15826,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,31500
2017,Nissan,Rogue,67616,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,մաքսազերծված չ,5800
2018,Subaru,Forester,18352,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4500
2017,Honda,Fit,143658,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,2400
2011,Chevrolet,Volt,131966,Հետչբեք,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,Մաքսազերծված,6500
2021,Mazda,6,15627,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6200
2017,Infiniti,QX50,21835,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,6900
2018,Toyota,Rav 4,26000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,6800
2006,Toyota,Land Cruiser Prado,195959,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,22000
2021,Tesla,Model 3,15934,Սեդան,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,մաքսազերծված չ,19500
2020,Mazda,6,50211,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,15500
2005,BMW,M5,259876,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,9800
2018,Honda,Civic,68498,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7200
2018,Hyundai,Elantra,127912,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10000
2017,Hyundai,Accent,94951,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2300
2017,Ford,Fusion,173809,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,11000
2013,Toyota,Prius,125000,Հետչբեք,Ավտոմատ,Ձախ,Հիբրիդ,Արծաթագույն,Մաքսազերծված,10000
2016,Mercedes-Benz,E 350,80430,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,6500
2016,Jeep,Renegade,22854,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Նարնջագույն,մաքսազերծված չ,2800
2019,Chevrolet,Camaro,20760,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,20000
2017,Volvo,S60,51000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,3300
2020,Mazda,6,39000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,28000
2021,BMW,X2,38743,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,18500
2018,Hyundai,Sonata,19347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,3800
2016,Nissan,Maxima,21695,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3700
2016,Kia,Forte,154347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8700
2021,Nissan,Versa,49387,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,6100
2019,Toyota,Rav 4,18364,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7300
2016,BMW,X5,84000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,22700
2016,Nissan,Rogue,23914,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,3500
2019,Chevrolet,Camaro,19347,Կուպե,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,8700
2020,Kia,Forte,85378,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,12000
2019,BMW,X5,24000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,89000
2019,BMW,X5,67357,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,36000
2016,Porsche,Panamera,21736,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,18200
2021,Mazda,6,13900,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7300
2016,Kia,Forte,23941,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,3100
2020,Jeep,Compass,18347,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,5600
1999,VAZ,(Lada) 2106,855,Սեդան,Մեխանիկական,Ձախ,Գազ,Սպիտակ,Մաքսազերծված,1600
2017,Acura,MDX,19975,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7300
2014,Toyota,Corolla,170590,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,14500
2015,Kia,Forte,140000,Սեդան,Մեխանիկական,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,11500
2019,Ford,Escape,18745,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4100
2020,Toyota,Camry,81000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,14000
2018,Kia,Forte,18734,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,2800
2009,BMW,528,274000,Սեդան,Ավտոմատ,Աջ,Բենզին,Սև,Մաքսազերծված,10000
2007,Mercedes-Benz,S 550,227000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,Մաքսազերծված,15500
2016,Hyundai,Veloster,161397,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,2200
2018,Chevrolet,Malibu,113000,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,13100
2018,Ford,Fusion,174716,Սեդան,Ավտոմատ,Ձախ,Հիբրիդ,Սպիտակ,մաքսազերծված չ,3700
2019,Subaru,Outback,36853,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,7000
2022,Volkswagen,ID.4,22,Ամենագնաց,Ավտոմատ,Ձախ,Էլեկտրական,Սպիտակ,Մաքսազերծված,43100
2018,Ford,F150,18347,Պիկապ,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,12400
2021,Toyota,Highlander,16947,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,20600
2021,Audi,Q7,16985,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,24800
2021,Mercedes-Benz,GLE 350,5400,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,31000
2017,BMW,X5,19354,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Այլ գույն,մաքսազերծված չ,14300
2021,GMC,Acadia,19654,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,9000
2020,Mazda,6,17694,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,4900
2018,Toyota,Camry,187158,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,10500
2020,Jeep,Grand Cherokee,18349,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,16100
2018,BMW,X6,92000,Ունիվերսալ,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,Մաքսազերծված,52000
2019,Nissan,Sentra,18347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,3300
2020,Toyota,Camry,16821,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,8800
2020,Kia,Forte,18347,Սեդան,Ավտոմատ,Ձախ,Բենզին,Կապույտ,մաքսազերծված չ,3300
2017,Hyundai,Elantra,143231,Սեդան,Ավտոմատ,Ձախ,Բենզին,Բալագույն,Մաքսազերծված,31900
2017,Ford,Fusion,74934,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2400
2016,Nissan,Pathfinder,25000,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Արծաթագույն,մաքսազերծված չ,4400
2019,Nissan,Rogue,51499,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Կարմիր,Մաքսազերծված,16500
2017,Mercedes-Benz,E 300,91088,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սպիտակ,մաքսազերծված չ,15000
2012,Toyota,Camry,168981,Սեդան,Ավտոմատ,Ձախ,Բենզին,Սև,Մաքսազերծված,15500
2015,Mazda,CX5,61155,Ամենագնաց,Մեխանիկական,Ձախ,Բենզին,Սև,Մաքսազերծված,13000
2016,Honda,CR-V,22846,Ամենագնաց,Ավտոմատ,Ձախ,Բենզին,Սև,մաքսազերծված չ,7300
2017,Chevrolet,Camaro,24500,Կուպե,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,7200
2017,Toyota,Corolla,35283,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,10000
2016,Kia,Optima,74786,Սեդան,Ավտոմատ,Ձախ,Բենզին,Մոխրագույն,մաքսազերծված չ,2700
2019,Toyota,Corolla,78255,Հետչբեք,Ավտոմատ,Ձախ,Բենզին,Նարնջագույն,մաքսազերծված չ,6700
